hörspielID	titel	kurzbeschreibung	beschreibung	metabeschreibung	veröffentlichungsdatum	unvollständig	cover	urlCoverApple	urlCoverKosmos	urlDreifragezeichen	idAppleMusic	idSpotify	idBookbeat	idAmazonMusic	idAmazon	idYouTubeMusic
1	und der Super-Papagei		Der Auftrag an die drei Detektive hört sich recht harmlos an: Sie sollen einen entflogenen Papagei suchen. Doch kaum beginnen sie mit ihren Nachforschungen, da scheinen sich plötzlich noch einige andere Leute sehr für diesen Papagei zu interessieren. Vielleicht deshalb, weil er lateinische Sprüche zitieren kann? Aber bald geht es nicht mehr nur um einen, sondern um sieben Papageien – und alle sieben führen höchst seltsame Reden. Ob da nicht eine geheime Botschaft dahintersteckt? Jedenfalls sind auch ein jähzorniger Kunsthändler und ein berüchtigter Meisterdieb hinter den Vögeln her.\nDie drei ??? müssen sich ganz schön die hellen Köpfe zerbrechen, ehe sie diesen abenteuerlichen Fall aufklären und eine wohlverdiente Belohnung einheimsen …		1979-10-12	false	1	http://a1.mzstatic.com/us/r30/Music41/v4/c9/3f/e4/c93fe4aa-c385-ed18-2cb3-e4eeff284f5a/source	http://web.archive.org/web/20220115152728if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/f1/48/5f/0743213880129.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-super-papagei	1092529875	4N9tvSjWfZXx3eHKblYEWQ	534575	B01CURZRWG	B00005QXM1	MPREb_CjlxsM5R4UV
2	und der Phantomsee		Welches Geheimnis verbirgt sich in einem vergilbten Brief und in den nach langer Zeit wieder aufgetauchten Aufzeichnungen des Seemanns Angus Gunn? Wurde tatsächlich in einer lange vergangenen Sturmnacht ein Piratenschatz von einem sinkenden Schiff gestohlen? Das möchten die drei Detektive Justus, Peter und Bob ebenfalls gerne wissen. Den Nachkommen von Gunn ist es bisher nicht gelungen, das Versteck des Schatzes ausfindig zu machen. Professor Shay, den diese Sache für seine Arbeit am Historischen Forschungsinstitut interessiert, hatte bislang auch kein Glück. Immer mehr Personen tauchen auf und machen sich verdächtig. Auch Java-Jim, ein undurchsichtiger Seemann, versucht den drei ??? zuvorzukommen. Und welche Rolle spielt Stebins, der wegen Unterschlagung im Gefängnis war und auf Bewährung frei ist? Der Professor vermutet, dass er und Java-Jim zusammenarbeiten …		1979-10-13	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/87/1c/7f/871c7f1c-fdf1-bed9-bf1b-eb7ab73ec448/source	http://web.archive.org/web/20211227022703if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/36/60/e9/0743213880228.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-phantomsee	1092530929	0xldqK4Ocdt8dwQSxUzt6x	534626	B01CV1D1CO	B00005Q4WZ	MPREb_dobEq0EsRwd
3	und der Karpatenhund		"Bei mir spukt es!" Mit diesem verzweifelten Ausruf von Mr. Prentice beginnt ein neues Abenteuer für die drei ???. Ein Abenteuer, das immer verwickelter wird und bei dem sogar der sonst so superschlaue Erste Detektiv, Justus Jonas, eine Zeitlang völlig im Dunkeln tappt. – Welche unheimliche Gestalt geht in der Wohnung von Mr. Prentice ein und aus und versetzt diesen in immer größere Ängste und Schrecken? Was ist die Quelle jener gespenstischen Lichtblitze in seinem Arbeitszimmer, sechs Meter über der Straße? Wer hat die wertvolle gläserne Skulptur des Karpatenhundes verschwinden lassen, und wer versucht, allen Mietern den Aufenthalt in dem großen Appartementhaus unmöglich zu machen? Die wenigen Spuren weisen in verschiedene Richtungen, und für unser Detektivtrio gilt es wieder einmal, eine harte Nuss zu knacken. Werden sie Licht in das Dunkel bringen? …		1979-10-14	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/a7/d8/54/a7d85469-a416-93a3-93ba-d8e82be2f8ae/source	http://web.archive.org/web/20220124230925if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/f9/72/9a/0743213880327.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-karpatenhund-1	1092531572	61OtrnMm1lqoMgMRb1aw7g	534584	B01CV1DGTW	B00005Q4X1	MPREb_P02M4rXCx1u
4	und die schwarze Katze		In einem kleinen Wanderzirkus wittern die drei jungen Detektive Justus, Peter und Bob ihren neuesten Fall. Denn wenn ein finster aussehender Mann mit Gewalt eine hässliche schwarze Stoffkatze – den Hauptgewinn einer Schießbude – an sich bringen will, sie schließlich stiehlt und am nächsten Tag per Zeitungsanzeige nach weiteren Stoffkatzen fahndet, dann muss irgendetwas dahinterstecken. Außerdem: Wieso trifft den Wanderzirkus seit Wochen ein Unglücksfall nach dem anderen? Und wer ist der Unbekannte mit der auffallenden Tätowierung, der immer wieder im Zirkus auftaucht, aber in brenzligen Momenten spurlos verschwindet? Justus und seine Freunde setzen sich ihm und der gestohlenen Katze auf die Spur …		1979-10-15	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/21/ee/57/21ee57b0-0949-8674-8b3d-c2c512c5fbc8/source	http://web.archive.org/web/20211227022701if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/26/17/20/0743213880426.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-schwarze-katze	1092538644	2w902iYtkf0ipmTImyLlsL	534628	B01CV1AKBO	B00005Q4X3	MPREb_f99mXl75sLR
5	und der Fluch des Rubins		Die drei ??? haben es mit einem seltsamen Vermächtnis zu tun: Onkel Horatio hat seinem Neffen etwas Wertvolles hinterlassen – aber was? Und vor allem wo? Die jungen Kriminalisten Justus, Peter und Bob sehen sich mit viel zu vielen Gipsköpfen, geheimnisvollen Herren und dem Wort August in mindestens fünf Bedeutungen konfrontiert. Werden Justus und seine Freunde mit diesem Fall nicht überfordert?		1979-10-16	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/f5/4e/46/f54e4607-2ea1-d765-632e-8a1723d4ba61/source	http://web.archive.org/web/20220115152720if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/71/d2/32/0743213880525.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-fluch-des-rubins	1092528575	5YWM39RnabpxekZuHriTam	534586	B01CV1D94O	B00005Q4X4	MPREb_VAk0Fcx0KaM
6	und der sprechende Totenkopf		Peter und Bob halten von Anfang an nicht viel davon, dass ihr Freund Justus auf einer Versteigerung ausgerechnet einen uralten Koffer mit unbekanntem Inhalt ersteigern will. Hätten sie geahnt, welch gefährliche Verwicklungen sich aus dem Besitz des Koffers ergeben würden – sie hätten noch weit heftiger protestiert! Nicht genug damit, dass er neben den Kleidern und Utensilien eines Zauberkünstlers einen Totenkopf enthält; der merkwürdige Schädel kann auch noch sprechen! Ziemlicher Schock für die drei Detektive, die keinesfalls an Spuk glauben. Und kaum beginnen sie, dieses Geheimnis zu ergründen, da ist schon eine ganze Bande Dunkelmänner hinter ihnen und dem Koffer her. Die rätselhaften Sprüche des Totenkopfes führen die drei ??? zu einer wahrsagenden Zigeunerin und dann auf die Spur eines verschollenen Zauberkünstlers und eines unaufgeklärten Bankraubes. Doch als sie den letzten Hinweis zur Lösung des Falles in den Händen halten, scheint alles schiefzugehen …		1979-10-17	false	1	http://a1.mzstatic.com/us/r30/Music71/v4/a7/e7/cb/a7e7cbc3-0ce0-34db-a310-d7b82546f2b0/source	http://web.archive.org/web/20220111212354if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/aa/ae/38/0743213880624.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-sprechende-totenkopf	1092534669	54eP8BYMR270sTqklv83V0	534673	B01CV1CF62	B00005Q4X5	MPREb_Ptve9f8NomH
7	und der unheimliche Drache		Ein paar entlaufene Hunde zu suchen – naja, das ist normalerweise kein besonders verlockender Auftrag für drei clevere Detektive. Doch kaum beginnen Justus, Peter und Bob mit der Suche, da erzählt ihnen der Hundebesitzer, Mr. Allen, von einem Seeungeheuer, das er an der Küste gesichtet haben will. Wie bitte – Seeungeheuer? Doch Mr. Allen hat nicht gescherzt. Die drei ??? stoßen bei ihren Nachforschungen nicht nur auf einen anscheinend leibhaftigen Drachen, der unheimlich hustet, sondern auch auf ein mysteriöses Höhlenlabyrinth, auf verschiebbare Felswände, bewaffnete Froschmänner und manch andere Merkwürdigkeiten. Wem gehört zum Beispiel die unheimliche Stimme am Telefon? Und was ist dieser Mr. Shelby für ein Mensch? Er nennt sich Spezialist für Tricks und Späße aller Art – aber bald stellt sich heraus, dass man auch mit Tricks und Späßen entschieden zu weit gehen kann …		1979-10-31	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/c0/7a/ba/c07aba56-7363-71d6-72ba-38d2a968e379/source	http://web.archive.org/web/20220115152709if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/ff/b4/cc/0743213880723.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-unheimliche-drache	1092528550	3nGyW4ETDrDpInYEAQCyYS	534558	B01CV1E37G	B00005Q4X6	MPREb_pRlhfE8HVL8
8	und der grüne Geist		Merkwürdig, dass an diesem Abend anscheinend nicht nur Peter und Bob zufällig das Haus des längst verstorbenen Mathias Green besichtigen, das abgerissen werden soll. Mehr als merkwürdig, nämlich höchst gruselig, wenn dann plötzlich ein grün schimmernder Geist erscheint, was außer den beiden Detektiven immerhin sechs ausgewachsene Männer (oder waren es sieben?) bezeugen können. Justus dagegen findet den Bericht seiner Freunde weder sehr merkwürdig, noch sehr gruselig, sondern sehr verdächtig – und schon bald stecken die drei ??? in den Ermittlungen zu einem neuen Fall. Bald stellt sich heraus, dass irgendjemand hinter einer wertvollen Perlenkette her ist, die in dem Abbruchhaus gefunden wurde. Sie ist dem Unbekannten sogar eine Entführung wert, wie Peter, Bob und ein neuer Freund am eigenen Leibe zu spüren bekommen. Doch Justus wäre nicht Justus, käme ihm nicht gerade rechtzeitig die rettende Erleuchtung …		1979-11-01	false	1	http://a1.mzstatic.com/us/r30/Music22/v4/63/98/91/639891fc-8d20-3c32-78a9-5f12e7919932/source	http://web.archive.org/web/20220123153428if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/1b/d3/1c/0743213880822.jpg	https://dreifragezeichen.de/produktwelt/details/und-der-grune-geist	1092538504	6MRsf5IcfqJIogaNqtESnh	534694	B01CV1DCNW	B00005Q4X7	MPREb_o7lnsCv7pdf
9	und die rätselhaften Bilder		Allzu viel ist es ja nicht, was der alte Maler Joshua Cameron hinterlassen hat – und obendrein blieb er die Miete schuldig! Aber ein merkwürdiger Kauz muss er gewesen sein: Zeigen doch die 20 nummerierten Ölbilder aus seinem Nachlass alle dasselbe Motiv, nämlich sein Wohnhaus. Dies und die Tatsache, dass sich nicht nur eine Gräfin und ihr Verwalter, sondern auch mehrere Unbekannte und ein Kunsthändler auffällig für die Bilder interessieren, bringen die drei ??? auf den Plan. Sind die Gemälde vielleicht doch nicht ganz so wertlos? Vielleicht besteht da auch irgendein Zusammenhang mit den wirren Worten, die Cameron vor seinem Tod im Fieber gestammelt hatte … Während Justus, Peter und Bob ermitteln, versucht ihr alter Rivale Skinny Norris, ihnen Steine in den Weg zu legen. Das wird am Ende für ihn selbst gefährlich. Nur gut, dass Justus rechtzeitig eine Erleuchtung kommt!		1979-11-02	false	1	http://a1.mzstatic.com/us/r30/Music41/v4/63/ed/85/63ed8571-c32d-cc88-3bf2-6b1921c9023b/source	http://web.archive.org/web/20220111212351if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/a9/6e/17/0743213880921.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-ratselhaften-bilder	1092538040	0aNqdp5ayuUNsOdUwu8x0b	534715	B01CV1CFDU	B00005Q4X8	MPREb_XzL1YgEYcOH
10	und die flüsternde Mumie		Die drei jungen Detektive Justus, Peter und Bob sind davon überzeugt: Eine tausendjährige Mumie kann nicht flüstern. Aber die Mumie, die im Besitz des berühmten Ägyptologen Professor Yarborough ist, flüstert dennoch, und zwar in einem altägyptischen Dialekt, den niemand verstehen kann. Die drei ??? sind entschlossen, das Geheimnis zu lösen, auch wenn der Fluch der Mumie sie treffen sollte. Ein großer und ein kleiner Libyer, eine abessinische Katze zuviel und Diebe aus Beruf und Leidenschaft legen ihnen dabei allerhand Schwierigkeiten in den Weg. Ob dieser Fall nicht doch zu kompliziert für die drei ??? ist?		1980-03-01	false	1	http://a1.mzstatic.com/us/r30/Music62/v4/db/b7/97/dbb79799-f83a-4f0d-551f-5be2854150d9/source	http://web.archive.org/web/20220115135352if_/https://s3.eu-central-1.amazonaws.com/kosmos.de/media/image/bb/76/44/0743213881027.jpg	https://dreifragezeichen.de/produktwelt/details/und-die-flusternde-mumie	1092529538	4h75QQIxW1etThTuw6vWzg	534564	B01CUS26LA	B00005Q4X9	MPREb_vw0saocJSTr
