hörspielID	personID
1	1
2	15
3	23
4	15
5	1
6	1
7	38
8	1
9	15
10	1
11	1
12	1
13	15
14	23
15	38
16	23
17	15
18	1
19	15
20	23
21	15
22	1
23	15
24	1
25	23
26	23
27	23
28	15
30	15
31	23
32	23
33	23
34	15
35	23
36	114
37	23
38	23
39	114
40	15
41	128
42	131
43	23
44	114
45	15
46	23
47	160
48	165
49	169
50	160
51	114
52	165
53	15
54	186
55	160
56	165
57	198
58	198
59	198
60	198
61	198
62	198
63	198
64	198
65	198
66	198
67	198
68	198
69	198
70	198
71	198
72	198
73	273
74	273
75	273
76	220
77	292
78	273
79	220
80	273
81	292
82	220
83	273
84	273
85	292
86	273
87	333
88	220
89	273
90	273
91	273
92	292
93	273
94	273
95	273
96	333
97	220
98	292
99	220
104	220
105	273
106	273
107	292
108	273
109	220
110	292
111	273
112	409
113	409
114	292
115	409
116	273
117	273
118	292
119	409
120	273
121	292
122	1
123	273
124	409
125	464
126	220
127	464
131	477
132	464
133	220
134	477
135	489
136	273
137	499
138	409
139	292
144	409
145	499
146	499
147	292
148	273
149	409
150	499
151	409
152	409
153	292
154	273
155	499
156	409
157	499
158	409
159	409
161	464
162	477
163	472
164	571
165	409
166	409
167	292
168	186
169	571
170	409
171	571
172	160
173	571
178	165
179	409
180	292
181	409
182	571
183	571
184	409
185	464
187	571
188	409
189	409
190	464
191	409
192	464
193	571
194	464
195	571
196	409
197	571
198	464
199	409
200	409
201	665
202	571
203	464
204	292
205	409
206	220
207	571
208	665
209	464
211	220
212	571
213	464
214	409
215	292
216	665
217	273
218	409
219	273
220	571
221	409
222	292
223	464
224	409
226	665
227	571
228	464
229	409
230	273
231	665
232	409
233	220
235	464
236	409
237	220
238	292
239	273
240	665
240	571
241	273
242	409
243	292
244	464
245	571
246	665
247	273
248	665
249	409
250	665
251	220
252	665
253	464
254	292
255	571
256	665
257	409
258	220
259	464
261	292
262	220
263	665
264	409
265	571
266	464
267	273
268	571
269	15
270	665
271	409
272	273
273	220
274	273
275	292
276	571
277	472
277	849
278	292
279	409
280	665
281	292
282	464
283	273
284	571
285	409
286	665
287	273
288	464
289	409
290	292
291	665
292	464
293	273
294	571
295	409
296	292
297	273
298	464
299	571
300	409
301	220
302	292
303	273
304	220
305	665
306	220
307	464
101	273
102	273
103	273
129	472
130	472
141	273
142	273
143	273
175	499
176	499
177	499
308	409
309	931
310	931
311	931
312	931
313	931
314	931
315	931
316	931
317	931
318	931
319	931
320	931
321	931
322	931
323	931
324	931
325	931
326	931
327	931
328	931
329	931
330	931
331	931
332	931
333	932
334	931
335	932
336	932
337	931
338	931
339	932
340	931
341	932
342	932
343	931
344	932
345	292
346	932
347	931
348	931
349	932
350	932
351	931
352	292
353	931
354	931
355	932
356	932
357	931
357	932
358	932
359	931
360	932
361	931
362	292
363	932
364	931
365	931
365	932
366	931
367	932
368	931
369	932
370	931
371	932
372	932
373	931
374	931
375	932
376	931
377	932
378	932
379	931
380	932
381	931
382	932
383	931
384	931
385	932
386	931
387	932
388	931
389	932
390	931
391	932
392	931
393	932
394	931
395	932
396	931
397	932
398	931
399	932
400	931
401	932
402	931
403	932
404	931
405	932
406	931
407	932
408	931
409	931
410	931
411	931
412	931
413	1201
416	292
417	665
418	409
419	220
420	571
421	464
422	472
422	849
423	932
424	931
425	932
426	931
427	665
428	273
