trackID	hörspielID	position	abweichenderTitel
1	1	1	
2	1	2	
3	1	3	
4	1	4	
5	1	5	
6	1	6	
7	1	7	
8	1	8	
9	2	1	
10	2	2	
11	2	3	
12	2	4	
13	2	5	
14	2	6	
15	2	7	
16	2	8	
17	3	1	
18	3	2	
19	3	3	
20	3	4	
21	3	5	
22	3	6	
23	3	7	
24	3	8	
25	4	1	
26	4	2	
27	4	3	
28	4	4	
29	4	5	
30	4	6	
31	4	7	
32	4	8	
33	5	1	
34	5	2	
35	5	3	
36	5	4	
37	5	5	
38	5	6	
39	5	7	
40	5	8	
41	6	1	
42	6	2	
43	6	3	
44	6	4	
45	6	5	
46	6	6	
47	6	7	
48	6	8	
49	7	1	
50	7	2	
51	7	3	
52	7	4	
53	7	5	
54	7	6	
55	7	7	
56	7	8	
57	8	1	
58	8	2	
59	8	3	
60	8	4	
61	8	5	
62	8	6	
63	8	7	
64	8	8	
65	9	1	
66	9	2	
67	9	3	
68	9	4	
69	9	5	
70	9	6	
71	9	7	
72	9	8	
73	10	1	
74	10	2	
75	10	3	
76	10	4	
77	10	5	
78	10	6	
79	10	7	
80	10	8	
81	11	1	
82	11	2	
83	11	3	
84	11	4	
85	11	5	
86	11	6	
87	11	7	
88	11	8	
89	12	1	
90	12	2	
91	12	3	
92	12	4	
93	12	5	
94	12	6	
95	12	7	
96	12	8	
97	13	1	
98	13	2	
99	13	3	
100	13	4	
101	13	5	
102	13	6	
103	13	7	
104	13	8	
105	14	1	
106	14	2	
107	14	3	
108	14	4	
109	14	5	
110	14	6	
111	14	7	
112	14	8	
113	15	1	
114	15	2	
115	15	3	
116	15	4	
117	15	5	
118	15	6	
119	15	7	
120	15	8	
121	16	1	
122	16	2	
123	16	3	
124	16	4	
125	16	5	
126	16	6	
127	16	7	
128	16	8	
129	17	1	
130	17	2	
131	17	3	
132	17	4	
133	17	5	
134	17	6	
135	17	7	
136	17	8	
137	18	1	
138	18	2	
139	18	3	
140	18	4	
141	18	5	
