rolleID	name
1	Hitchcock, Erzähler
2	Justus Jonas, Erster Detektiv
3	Peter Shaw, Zweiter Detektiv
4	Bob Andrews, Recherchen und Archiv
5	Mr. Fentriss, Schriftsteller
6	Mr. Claudius, Kunsthändler
7	Mrs. Claudius
8	Miss Waggoner
9	Carlos
10	Onkel Ramos
11	Hugenay
12	Morton
13	Tante Mathilda
14	Patrick Kenneth
15	Java-Jim
16	Mrs. Flora Gunn
17	Cluny Gunn
18	Rory
19	Stebins
20	Mr. Widner
21	Verwalter von Powder Gulch
22	Bibliothekarin
23	Mr. Prentice
24	Niedland
25	Pfarrer
26	Mrs. Boogle
27	Sonny Elmquist
28	Mr. Murphy
29	Miss Chalmers
30	Mr. Hassel
31	Polizist
32	Andy Carson
33	Mr. Carson
34	Khan, der Kraftmensch
35	Einzigartiger Gabbo
36	Iwan
37	Junge 1
38	Junge 2
39	Kommissar Reynolds
40	Der alte Mann
41	Wachmann
42	Jahrmarktfrau
43	Funksprecher
44	August August, genannt Gus
45	Mr. Dwiggins
46	Mr. Rhandur
47	Joe
48	Lisa
49	Mutter
50	Bauarbeiter
51	Gulliver
52	Mr. Maximillian
53	Mrs. Miller
54	Mr. Grant
55	Auktionator
56	Fred Brown
57	Hauswirt
58	Mann
59	H. H. Allen
60	Mr. Shelby
61	Mr. Carter
62	Jack Morgan
63	Harry Morgan
64	Telephonistin
65	Chang
66	Miss Lydia Green
67	Harold Carlson
68	Jensen
69	Won
70	Wongs Diener
71	Li
72	Männer bei Greens Haus
73	Onkel Titus
74	Professor Carswell
75	Hal Carswell
76	Gräfin
77	Armand Marechal
78	De Groot
79	Skinny Norris
80	Maxwell James
81	Patrick
82	Professor Yarborough
83	Wilkins, sein Butler
84	Professor Freeman
85	Achmed
86	Hamid
87	Harry
88	Uhrenmacher
89	Stephen Terrill
90	Felix
91	Mrs. Smith
92	Mrs. King
93	Julie Taylor
94	Martha Harris
95	Gerald Cramer
96	Gerald Watson
97	Mr. Jankins
98	Mr. Harris
99	Miss Sanchez
100	Ted Sanchez
101	Sanders
102	Natches
103	Prof. Meeker
104	Mr. Smathers
105	Mr. Jensen
106	Kenneth
107	Kathleen
108	Mr. Joe Hammond
109	Mrs. Hammond
110	Richardsen
111	Lieferant
112	Miss Larson
113	Jim Hall
114	Mike Hall
115	Eastland
116	Olsen
117	Hank Murphy
118	Doc Dawson
119	Dobbsie
120	Mrs. Darnley
121	Jeff Darnley
122	Jenny Darnley
123	Senior Santora
124	Gomez
125	Brotverkäufer
126	Nelly Towne
127	Billy Towne
128	Ordner
129	Lopez
130	Dillon
131	Roger Callow
132	Kellnerin
133	Sam
134	Chris Markos
135	Kommissar Nostigon
136	Mr. Shaw
137	Denton
138	Farraday
139	Jeff
140	Bill Ballinger
141	Jim Ballinger
142	Mr. Norris
143	Mrs. Barton
144	Dalton
145	Mrs. Dalton
146	Hardin
147	Prof. Walsh
148	Ben Jackson
149	Wreston
150	Cardigo
151	Waldo Turner
152	Taucher
153	Mihai Eftimin
154	Dr. Radulescu
155	Potter
156	Mrs. Dobson
157	Tom Dobson
158	Farrier
159	Christina Dalton
160	Frankie Bender
161	H. P. Clay
162	Jim Clay
163	Walter Quail
164	Trödler Hummer
165	Jason Wilkes
166	Chiang
167	Diakon Kastner
168	Butler
169	Rawley
170	Mr. Frank
171	Mr. Togati
172	Taro
173	Miss Agawam
174	Jordan
175	Chuck
176	Liliputaner
177	Wachmann im Museum
178	Hafenpolizist
179	Cody
180	Diego Alvaro
181	Pico Alvaro
182	Assistent
183	Sheriff
184	Tulsa
185	Cap
186	Pike
187	Bengt
188	Britta
189	Lars Holmqvist
190	Young
191	Forsborg
192	Frau
193	Köhler
194	Wärter
195	Kellner
196	Allie Jamison
197	Asmodi
198	Dr. Shaitan
199	Noxworth
200	Prof. Barrister
201	Marie
202	der "Clochard"
203	Patricia Osborne
204	Mann am Grundstück
205	Harrison Osborne
206	Thurgood
207	Mrs. Macomber
208	Atkinson
209	Manny
210	Gasper
211	Horace Tremayne
212	William Tremayne
213	Marvin Gray
214	Madeline Bainbridge
215	Mr. Thomas
216	Jefferson
217	Clara Adams
218	Grean
219	Schrottplatzwart
220	Reporter
221	Fred, Extremist
222	Walt, Extremist
223	Gordon Mackenzie
224	Adam Ndula
225	Ian Carew
226	Polizist im Suchtrupp
227	Mr. Andrews
228	Crowe
229	Käptn Jason
230	MacGruder
231	Hanley
232	Torao
233	Berg
234	Yamura
235	Die Gebrüder Connors
236	Weston
237	Shelby Tuckerman
238	Mr. Hitfield
239	Mr. Bonestell
240	Mrs. Denicola
241	Eileen
242	Ernie
243	Hoang Van Dong
244	Frau an der Bushaltestelle
245	Nachrichtensprecher
246	Dr. Woolley
247	Larry Conklin
248	Letitia Radford
249	Mrs. Chumley
250	Mrs. Burroughs
251	Mr. Burroughs
252	Gary Malz
253	Mr. Agnier
254	Mr. Barron
255	Mrs. Barron
256	Hank Detweiler
257	Elsie Spratt
258	Leutnant Ferrante
259	Bones
260	vermeintlicher US-Präsident
261	Kapitän Joy
262	Jeremy Joy
263	Joshua Evans
264	Major Karnes
265	Sam Davis
266	Eleonor
267	Birkensteen
268	Terreano
269	Brandon
270	Hoffer
271	McGee
272	Thalia
273	Stefano
274	John
275	Tankwart
276	LKW-Fahrer
277	Mann am Bahnhof
278	Bürgermeister
279	Constance
280	Slater
281	Donner
282	Fischer
283	Ocean-World-Mitarbeiter
284	Regina
285	Teddy
286	Mrs. Peabody
287	Burton
288	Mooch
289	Mr. Conine
290	Fergus
291	Mrs. Shaw
292	Mr. Peck
293	Ed Snabel
294	Bartlett
295	FBI-Agent Anderson
296	Passantin
297	Blinky
298	Miss Melody
299	Frisbee
300	Mr. Jacobs
301	Paul Jacobs
302	Mr. Temple
303	Sarah Temple
304	Willard Temple
305	Polizeileutnant
306	Margon
307	William Margon
308	Passanten
309	Brewster
310	Clifford
311	Zindler
312	Pamir
313	Martin
314	Botin
315	Michael Cross
316	Mrs. Cross
317	Mr. Cross
318	Grady Markels
319	Brackmann
320	Margie
321	Sawyer
322	Museumsbesucherin
323	Gärtner
324	Mr. Rossing
325	Rossings Assistentin
326	Lucille
327	Charles
328	McLain
329	Verleiher
330	Sears
331	Evans
332	Pelzhändler
333	Lucilles Mutter
334	Sekretärin
335	Mädchen
336	Milton
337	Bonehead
338	Peggy
339	Footsie
340	Bloodhound
341	Lomax
342	Gordon Harker
343	Ingmar Ragnarson
344	Karl Ragnarson
345	Sam Ragnarson
346	Mr. Manning
347	Mrs. Manning
348	Mrs. Andrews
349	Harry Burnside
350	Millionär Pilcher
351	Marilyn Pilcher
352	Sekretär Sanchez
353	Harald Durham
354	Frau Durham
355	Jim Westerbrook
356	Mrs. Westerbrook
357	Dr. Gonzaga
358	Ramon Navarro
359	Kelly
360	Julia Crown
361	Big Barney Crown
362	Schwester Lazar
363	Don Dellasandro
364	Pandro Mischkin
365	Kranführer Dick
366	Daniel
367	Mary
368	Häuptling Turner
369	Schamane
370	Unternehmer Mancarrow
371	Ganove Biff
372	Ganove George
373	Axel Griswold
374	Purvis
375	Dan DeMento
376	Leo Rottweiler
377	Steve Trash
378	Rainey Fields
379	Junge
380	Jon Travis
381	Marty Morningbaum
382	Diller Rourke
383	Marble Ackbourne-Smith
384	Margo
385	Kevin
386	Mercedes
387	Brit
388	Dusty Rice
389	Ascension
390	Brick
391	Thanom
392	Prem
393	Sax Sandler
394	Celeste
395	Lara
396	Rivers
397	Hansen
398	Maxi
399	Quill
400	Tony
401	Ty Cassey
402	Inspektor Cole
403	Kommissar Maxim
404	Gilbar
405	Torres
406	Jake Hatch
407	Tiburon
408	Buzz Newman
409	George Brandon
410	Jim Bernardie
411	Firestone
412	Crocker
413	Lovell Madeira
414	Vic Hammell
415	Dan
416	Trainer Tong
417	Trainer Duggan
418	Präsident Harper
419	Jerri
420	Nora
421	Cory
422	Norman
423	Powers
424	Liz
425	Harold
426	Dose
427	Silas Ek
428	Sekretär
429	Jan
430	Lys
431	Branson Barr
432	Norton Rome
433	Mary, Artistin
434	Winkler, Zirkusdirektor
435	Pipo, Clown
436	Inspektor Cotta
437	Alma
438	Schwester
439	Shirley Kubinski
440	William Ashley
441	Burt Ashley
442	Pecker, Angestellter
443	Axel
444	Mrs. Bloomingdale
445	Stella
446	Ruth, Zeitungs-Journalistin
447	Jean Baxter, TV-Journalistin
448	Van Well, Pressechef
449	Sinagua, Indianerin
450	Chosmo, Journalist
451	Monsieur Jaubert
452	René Hancock
453	Joan Brown
454	Hendrik Walton, Fabrikant
455	Glenn Miles
456	Benny
457	Tom Descanso, Trainer
458	Field, Lehrer
459	Hutchins, Sport-Reporter
460	Dr. Landman, Schuldirektor
461	Stan
462	Eleonore Sharp
463	Milton Mitchell
464	Fred Hall
465	Anne
466	Portland
467	Charlie
468	Kundin
469	Adams
470	Amanda Black
471	Mrs. Silverstone
472	Mr. Garfield
473	Mr. Hartford
474	Mrs. Hartford
475	Mrs. Green
476	Henry
477	Linda
478	Jimboy-Jonas
479	Mr. Bow
480	Eric Randolph
481	Elizabeth
482	Tamara Mostowsky
483	Inspektor Capistrano
484	Sergeant Hawthrone
485	Simon Oames
486	Silvie Oames
487	Michael Julius Oames
488	Mandy Taylor
489	Deborah Street
490	Greenwater
491	Alex Burlington
492	Richard Applebloome
493	Robert Applebloome
494	John Smith
495	Jenkins
496	Thomas
497	Andrew
498	Mrs. Rodriguez
499	Hoteldirektor
500	Blondine
501	Alberto Bergamelli, Fotograf
502	Alexandra
503	Ignazio, Pensionswirt
504	Sofia, Pensionswirtin
505	Franca
506	Italienerin
507	Italiener 1
508	Italiener 2
509	Babette Eberle
510	Bruder Benedikt
511	Mylná
512	Wirt
513	Wirtin
514	Max
515	Polizist 1
516	Polizist 2
517	Jerzy
518	Mariana
519	Mann 1
520	Mann 2
521	Erna Fiedler
522	Dr. Ferguson
523	John Brady
524	Matt Brady
525	Goodween
526	Alan
527	Sally Samson
528	Sofie Samson
529	Dr. Harris
530	John Davis
531	Homer Washington
532	Fahrer
533	Brenda
534	Mrs. Lu Kwan
535	Dimitrios, Bankdirektor
536	Dan Jordan, Reporter
537	Olivia
538	Santoria
539	Pertier
540	Sergeant
541	Irma
542	Laura McLaughin
543	Malcolm King
544	Lansana King
545	Hester Dalton
546	Billie
547	Wächter 2
548	Mrs. Madigan
549	Eathon Easton, ihr Untermieter
550	Mrs. Lydia Cartier
551	Sigourney, ihr Dienstmädchen
552	Inspektor Kershaw
553	Museumswärterin
554	Mr. Whitehead
555	Steven Robinshaw, Anwalt
556	Jeffrey
557	Dr. Wright
558	Carrie Hanson
559	Tim Conrad
560	Detective Gregston
561	Nora Sethons
562	Mrs. Aston
563	Mr. Krieger
564	Lisa Manninger
565	Abigail Holligan
566	Metzla Holligan
567	Clarissa Franklin
568	Dr. Miller
569	Mrs. Petersen
570	Sekretariat
571	Mr. Brian
572	Mrs. Dream
573	Jack Cliffwater
574	Erzähler
575	Karen Sulzenberger
576	Nicola
577	McMannoman
578	Mrs. Seven
579	Trainer
580	Roger
581	Uli
582	Albert Hitfield
583	J.J.
584	Julius Jonas
585	Catherine Jonas
586	Arturo
587	Autovermieter
588	Al Parker, Musikproduzent
589	William Needle
590	Stevens
591	Bart
592	Luke
593	Frank
594	Joan, Visagistin
595	Hank
596	Billy
597	Angestellter
598	Cosma
599	Vladimir Contreras
600	Roger Carpenter
601	Kelly Madigan
602	DaElba
603	Alberto
604	Mr. Toll
605	Franke
606	Mr. Burt
607	Boris
608	Blacky
609	Milva Summer, Astrologin
610	Professor Steed, Tiermediziner
611	Daniel Art, Bodyguard
612	Mike Hanson, Reporter
613	Professor Clark
614	Carol Ford, Fernsehjournalistin
615	Dr. Helprin, Wissenschaftler
616	Mr. Evans
617	Enrique Serra
618	Jelena Charkova
619	Mr. Charkov
620	Vanderhell, Teufelsgeiger
621	Walker
622	Monica
623	Lady MacWeiden
624	Mac George
625	Chris
626	Campingwart
627	Frau des Campingwarts
628	Mr. Peacock, Museumsdirektor
629	Alpha
630	Beth
631	Dog
632	Ceewee
633	Mrs. Harding, Polizeipsychologin
634	Mr. Ambler, Assistent
635	Rodder, das Wolfsgesicht
636	Mr. Laurent, Ladenbesitzer
637	Mr. Stepelton, Ladenbesitzer
638	Ray, Praktikant
639	Sandy, Verkäuferin
640	Doe Dungeon, Programmierer
641	Lili Buschfort
642	Tom Beker
643	Märchenerzähler
644	Königin Trulie
645	Vinton
646	Amme
647	Medusa
648	Oinki Hinki
649	Vampir-Frau
650	Hexe
651	Oma
652	Wache
653	Computerstimme
654	Mr. Gilbert
655	Mrs. Grayson
656	Mr. Perkins
657	Mac Dunno
658	Aaron Moore
659	Roxanne
660	Bruce Black
661	Stanley Truman
662	Mrs. Jones
663	Mrs. Shoemaker
664	Gregstone
665	Butch
666	Ramirez
667	Radiosprecher
668	Mr. Quin
669	Mr. Conrad Farnham
670	Deborah Snell
671	Alois Copper
672	Miss Lilly
673	Frau des Bürgermeisters
674	Stewart
675	Pico, Clown
676	Dr. Arroway
677	Janet, ihre Assistentin
678	Tom Gordon
679	Dixon
680	Detective Frank
681	Dave Rawling
682	Praktikantin Lesley
683	Mr. Smith
684	Sheppard
685	Feuerwehrmann
686	Janet Hazelwood
687	Laura Stryker
688	Mrs. White
689	Mr. Collins
690	Ann Sullivan
691	Mr. Martin
692	Mr. Caddy
693	Lady Day
694	Mann aus der Wüste
695	Miller
696	Debby
697	Kevin Anderson
698	Dr. Freeman
699	Mrs. Brighton
700	Mrs. Wheel
701	Schwester Whitney
702	Besucher
703	Bote
704	Dr. Svenson
705	Mr. Schwarz
706	Mr. Olin
707	Juan
708	Professor Phoenix
709	Rachel Hadden
710	Al
711	Giorgio Cade
712	Monique Carrera
713	Jenny Collins
714	Jeremy Scott
715	Mrs. Scott
716	Oma Scott
717	Acer
718	King
719	Tricia Wilson
720	Brittany
721	Wilbur Graham
722	Bruder Raphael
723	Inspektor Berger
724	Baldwin
725	Dick Perry
726	Mrs. Meg Baker
727	Mrs. Wood
728	Jack Sharky
729	Betty Shutton
730	Joanna Masterson
731	Jack Masterson
732	Sarah Masterson
733	Mr. Harry Falkner
734	Harvey Ashford
735	Marc
736	Amy Scream
737	Ellen
738	Pam
739	Jim Cowley
740	Mandy Robin
741	Sanitäter 1
742	Sanitäter 2
743	Bardame
744	Diskothekenbesucher
745	Lama Geshe
746	Tai Sutsi
747	Vinaya
748	Mr. Zhang
749	Lesley Dimple
750	Mrs. Wilbur
751	Caspar Carter
752	Enid
753	Albert
754	Montgomery
755	Nick Nobel
756	Sandy
757	Bill
758	Mike Pherson
759	Clarissa
760	Veronica
761	Pablo
762	Dr. Brolin
763	Bürgermeister Hoover
764	Mike
765	Clark
766	Maggie Jones
767	Lythia Waterstone
768	Elisabeth Waterstone
769	John Stanley
770	Jack Donelly
771	Althena
772	Corona
773	Fahrer Ken
774	John Fairbanks
775	Hal Fairbanks
776	Walt
777	Blackeye
778	Donovan
779	Pit
780	Cowboy
781	Creeklong
782	Brad Fleming
783	Emily
784	Dr. Wakefield
785	Alruna
786	Marcus Lake
787	Bernadette O'Donnell
788	Cecilia Jones
789	Elouise Adams
790	Mrs. Willow
791	Möbelpacker
792	Escovedo
793	Anita Caballero
794	Regina Pearson
795	Mr. Horowitz
796	Mr. Rothman
797	Mrs. O'Rien
798	Mr. Applegate
799	Julia Applegate
800	Teddy Applegate
801	Rafter
802	Archie
803	Wagner
804	Beaumont
805	Calhoon
806	Zia
807	Ralph
808	Robbie
809	Jack
810	Dennis
811	Gina
812	Charly
813	Turnbull
814	Dizzy
815	Caitlin Kopperschmidt
816	Jeremy Kopperschmidt
817	Graig Kopperschmidt
818	George
819	Anthony Quinn
820	Martha
821	Felix Kopperschmidt
822	Ken Parker, Beachball-Spieler
823	Dr. Robinson
824	Mickey McQuire
825	Mrs. Bancroft
826	Zuschauer
827	Jupiter Jones
828	Peter Crenshaw
829	Bob Andrews
830	Sylvester Meyzel
831	Dorothy Winter
832	Mr. Hendrik
833	Kassiererin
834	Inspektor Milton
835	Inspektor Tomlin
836	Mr. X
837	Tao
838	Supermarkt-Durchsage
839	James Taylor
840	Ray Wells
841	Frank Caspian
842	Jonathan Grant
843	Christy Grant
844	George Drummond
845	Tom Drummond
846	Onkel Titus Jones
847	Tante Mathilda Jones
848	Mr. Walker
849	Donald Forthland
850	Shane Montana
851	Jim
852	Doc Brown
853	Finnegan
854	Jack Doolan
855	Miss Lana
856	Mademoiselle Nadine
857	Toby Grissom
858	Frank Mortimer
859	Ellen Maxell
860	Audrey Moonshadow
861	Sandy Stryker
862	Mandy Honeyball
863	Mars Chaplin
864	Marty Stevens
865	Joshua Apeh
866	Claudia Salazar
867	Ralf Dempsey
868	Marvin Cox
869	Anna
870	Hapa
871	Lastwagenfahrer
872	Taro Togati
873	Officer Hunter
874	Türsteher
875	Motelangestellter
876	Museumsdirektor
877	Harvey Denton
878	Mrs. Fox
879	Arthur Heatherly
880	Melissa Heatherly
881	Shawn
882	Jolene
883	Leah
884	Sue
885	Kimberly Lloyd
886	William Boyd
887	Thorndike
888	Fred Jenkins
889	Mr. Campbell
890	Sam Reilly
891	Carl Sheehan
892	Collins
893	Mr. Kingsley
894	Mrs. Kingsley
895	Devlin Reno
896	Dr. Long
897	Emiliano
898	Pancho
899	Esperanza
900	Pedro
901	Abelardo
902	Mr. O'Sullivan
903	Butler Paul
904	Aufsicht
905	Jaccard (Off-Stimme)
906	Andy Miller
907	Sharon Lockwood
908	Moderator
909	Rubbish George
910	Graham, Reporter
911	Julianne Wallace
912	Mrs. Albright
913	Mr. Myers
914	Charles Knox
915	Ansager
916	Nachtschatten
917	Mr. Baker
918	Dr. Chandler
919	Austin
920	Dwain
921	Mr. Monroe
922	Professor Rosenberg
923	José
924	Steve Bright
925	Brian Smith
926	Wächter
927	Mrs. Osborne
928	Mr. Pentecost
929	Senora Gonzalez
930	Mrs. Bennett
931	Crowle
932	Casey Wye
933	Oliver Taper
934	Layla
935	Alaa Edine
936	Abazza
937	Kamelhändler
938	Kamelführer
939	Ägypter
940	Kommissar
941	Aisha
942	Verkäufer
943	Dick Vincent
944	Taxifahrer
945	Beverly Leung
946	Thomas Johnson
947	James
948	Daniel Baker
949	Mr. Grogan
950	Lloyd Scavenger
951	Jack Lowell
952	Alexander Nolan
953	Jaqueline Williams
954	Ian Parsley
955	Mary Parsley
956	Jasper Kittle
957	Shawne Davison
958	Officer Wood
959	Miss Bennett
960	Karen
961	Becky
962	Felicia Sparing
963	Mrs. Amelia Sparing
964	Mr. Sparing
965	Professor Alkurah
966	Eroll
967	Mrs. Featherstone
968	Sergeant Ludlow
969	Banden-Chef
970	Eddy Reardon
971	Spanier
972	Italiener
973	Gauner
974	Gehilfe
975	Christine
976	Mr. Bambridge
977	Lo Wang
978	Anthony Hearst
979	Truck-Fahrer
980	Avercromby
981	Pilot
982	Liolotta
983	Sarah Livingston
984	Elvira Zuckerman
985	Darren Duff
986	Taucher Carl
987	Taucherin Joan
988	Paul Brooks
989	Joe Wilcox
990	Cassandra Wilcox
991	Doktor Holloway
992	Cedric Duff
993	Winston Granville
994	Matthew Granville
995	Smithy
996	Mr. Jackmore
997	Professor Frazier
998	Davy Swann
999	Craig Holden
1000	Löwenritter
1001	Helena Darraz
1002	Pritchard
1003	Sid
1004	Caroline
1005	Steven
1006	Ernest
1007	Radioansagerin
1008	Harvey Griscom
1009	John Dellcourt
1010	Miss Darraz
1011	Josy McDonaghough
1012	Homer Diesel
1013	Mary Stamper
1014	Otis Stamper
1015	Jonathan Black
1016	Miles Black
1017	Klara Kowalski
1018	Silvester Proud
1019	Pfarrer Clark
1020	Jeffrey Seaman
1021	Eric
1022	Mr. Settler
1023	Patrick O'Brian
1024	William de Haas
1025	Theodor Brewster
1026	Officer Flann Doyle
1027	Tanya Sullivan
1028	Sebastian Dawson
1029	Miss Tomkins
1030	Mr. Foley
1031	John Gabbin
1032	Matthew Gabbin
1033	Georgina
1034	Gil Renard
1035	Hedy Carlson
1036	Steve
1037	Laury
1038	Gast 1
1039	Fahrerin
1040	Peter Foster
1041	Annie Wilkes
1042	Mädchen 1
1043	Mädchen 2
1044	Alter Mann
1045	Junger Mann
1046	Walter Bush
1047	Ian Bush
1048	Jimmy Sinclair
1049	Charlie Parker
1050	Brianna Jackson
1051	Chloe Smathers
1052	Joseph Quick
1053	Mr. Raynes
1054	Jeff White
1055	Bedienung
1056	Gast
1057	Carol Ford
1058	Francis Studstill
1059	Baxter Norsworthy
1060	Gordon Hoke
1061	Jared Fox
1062	Candace Duskin
1063	George Bennet
1064	Greg Harper
1065	Woodland
1066	Reporterin
1067	Wellford
1068	Lautsprecherstimme
1069	Richie Hanson
1070	Benni
1071	Jacki Jin
1072	Croupier
1073	Arthur Sinclair
1074	Mr. Peastone
1075	Jeremy Witherspoon
