sprechrolleID	hörspielID	position
1273	101	1
1274	101	2
1275	101	3
1276	101	4
1277	101	5
1279	101	6
1280	101	7
1281	101	8
1282	101	9
1283	101	10
1273	102	1
1274	102	2
1275	102	3
1276	102	4
1277	102	5
1278	102	6
1279	102	7
1284	102	8
1280	102	9
1281	102	10
1282	102	11
1283	102	12
1285	102	13
1286	102	14
1287	102	15
1273	103	1
1274	103	2
1275	103	3
1276	103	4
1279	103	5
1284	103	6
1280	103	7
1281	103	8
1282	103	9
1283	103	10
1286	103	11
1287	103	12
1705	141	1
1706	141	2
1707	141	3
1708	141	4
1720	141	5
1715	141	6
1728	141	7
1723	141	8
1709	141	9
1721	141	10
1716	141	11
1729	141	12
1705	142	1
1706	142	2
1707	142	3
1708	142	4
1720	142	5
1715	142	6
1728	142	7
1713	142	8
1714	142	9
1721	142	10
1716	142	11
1725	142	12
1724	142	13
1722	142	14
1718	142	15
1727	142	16
1710	142	17
1705	143	1
1706	143	2
1707	143	3
1708	143	4
1720	143	5
1715	143	6
1728	143	7
1714	143	8
1717	143	9
1716	143	10
1726	143	11
1712	143	12
1718	143	13
1719	143	14
1710	143	15
1711	143	16
1730	143	17
1941	161	1
1942	161	2
1943	161	3
1944	161	4
1945	161	5
1946	161	6
1947	161	7
1948	161	8
1949	161	9
1950	161	10
1951	161	11
1952	161	12
1953	161	13
1954	161	14
1955	161	15
1956	161	16
1957	161	17
1958	161	18
1959	161	19
1960	161	20
1961	161	21
1962	161	22
1963	161	23
1941	162	1
1942	162	2
1943	162	3
1944	162	4
1945	162	5
1947	162	6
1948	162	7
1956	162	8
1957	162	9
1964	162	10
1965	162	11
1950	162	12
1966	162	13
1967	162	14
1968	162	15
1955	162	16
1969	162	17
1970	162	18
1971	162	19
1954	162	20
1958	162	21
1963	162	22
1941	163	1
1942	163	2
1943	163	3
1944	163	4
1945	163	5
1972	163	6
1947	163	7
1973	163	8
1971	163	9
1974	163	10
1948	163	11
1975	163	12
1976	163	13
1977	163	14
1978	163	15
1979	163	16
1980	163	17
1981	163	18
1982	163	19
1957	163	20
1956	163	21
1964	163	22
1954	163	23
1958	163	24
1960	163	25
1955	163	26
1983	163	27
1984	163	28
1985	163	29
1950	163	30
1963	163	31
2156	175	1
2157	175	2
2158	175	3
2159	175	4
2160	175	5
2161	175	6
2162	175	7
2163	175	8
2164	175	9
2165	175	10
2166	175	11
2167	175	12
2168	175	13
2169	175	14
2170	175	15
2171	175	16
2172	175	17
2173	175	18
2156	176	1
2157	176	2
2158	176	3
2159	176	4
2174	176	5
2168	176	6
2175	176	7
2176	176	8
2177	176	9
2167	176	10
2164	176	11
2170	176	12
2178	176	13
2179	176	14
2180	176	15
2160	176	16
2181	176	17
2182	176	18
2183	176	19
2156	177	1
2157	177	2
2158	177	3
2159	177	4
2174	177	5
2160	177	6
2168	177	7
2176	177	8
2184	177	9
2163	177	10
2164	177	11
2175	177	12
2166	177	13
2170	177	14
2178	177	15
2185	177	16
2186	177	17
2187	177	18
2188	177	19
2323	187	1
2324	187	2
2325	187	3
2326	187	4
2327	187	5
2328	187	6
2329	187	7
2330	187	8
2331	187	9
2332	187	10
2349	187	11
2323	188	1
2324	188	2
2325	188	3
2326	188	4
2333	188	5
2323	189	1
2324	189	2
2325	189	3
2326	189	4
2334	189	5
2335	189	6
2350	189	7
2326	190	1
2323	191	1
2324	191	2
2325	191	3
2326	191	4
2336	191	5
2337	191	6
2351	191	7
2352	191	8
2325	192	1
2323	193	1
2324	193	2
2325	193	3
2326	193	4
2338	193	5
2323	194	1
2324	194	2
2325	194	3
2326	194	4
2339	194	5
2340	194	6
2323	195	1
2324	195	2
2325	195	3
2326	195	4
2339	195	5
2341	195	6
2342	195	7
2343	195	8
2344	195	9
2324	196	1
2323	197	1
2324	197	2
2325	197	3
2326	197	4
2345	197	5
