sprechrolleID	personID	pseudonymID	position
1	3		1
2	4		1
3	5		1
4	6		1
5	7		1
6	8		1
7	9		1
8	10		1
9	11		1
10	12	1	1
11	13	2	1
12	14		1
13	3		1
14	4		1
15	5		1
16	6		1
17	16		1
18	13		1
19	17	3	1
20	18		1
21	19		1
22	20	4	1
23	12	5	1
24	21		1
25	22		1
26	10		1
27	3		1
28	4		1
29	5		1
30	6		1
31	24		1
32	8		1
33	21		1
34	10		1
35	25	6	1
36	12		1
37	26	7	1
38	13	8	1
39	27		1
40	3		1
41	4		1
42	5		1
43	6		1
44	28		1
45	22		1
46	29		1
47	12	9	1
48	13	10	1
49	11	11	1
50	30		1
51	31		1
52	32		1
53	20		1
54	26		1
55	25		1
56	3		1
57	4		1
58	5		1
59	6		1
60	33		1
61	16		1
62	34		1
63	17		1
64	20		1
65	35		1
66	36		1
67	13		1
68	25		1
69	3		1
70	4		1
71	5		1
72	6		1
73	16		1
74	13		1
75	34		1
76	7		1
77	31		1
78	37	12	1
79	32	5	1
80	8		1
81	20		1
82	22		1
83	12		1
84	3		1
85	4		1
86	5		1
87	6		1
88	39		1
89	7		1
90	40		1
91	13	13	1
92	22		1
93	41		1
94	3		1
95	4		1
96	5		1
97	6		1
98	42		1
99	13		1
100	37		1
101	43	14	1
102	31		1
103	27		1
104	21	15	1
105	12		1
106	36		1
107	22		1
107	25		2
108	20		1
109	3		1
110	4		1
111	5		1
112	6		1
113	44	5	1
114	16		1
115	45	16	1
116	46		1
117	47	17	1
118	34		1
119	29		1
120	14		1
121	39		1
122	31		1
123	3		1
124	4		1
125	5		1
126	6		1
127	16		1
128	13		1
129	48		1
130	49		1
131	50	18	1
132	34	19	1
133	30		1
134	20		1
135	22		1
136	25		1
137	3		1
138	4		1
139	5		1
140	6		1
141	16		1
142	51		1
143	14		1
144	52		1
145	14		1
146	3		1
147	4		1
148	5		1
149	6		1
150	12		1
151	53	20	1
152	54		1
153	55		1
154	36		1
155	56		1
156	57	21	1
157	58		1
158	39	22	1
159	13	2	1
160	31		1
161	59		1
162	3		1
163	4		1
164	5		1
165	6		1
166	16		1
167	57		1
168	60	23	1
169	61		1
170	42		1
171	14		1
172	25		1
173	31		1
174	62		1
175	14		1
176	34		1
177	3		1
178	4		1
179	5		1
180	6		1
181	62		1
182	51		1
183	13		1
184	63		1
185	53		1
186	58		1
187	64		1
188	34		1
189	65		1
190	40		1
191	3		1
192	4		1
193	5		1
194	6		1
195	16		1
196	44	5	1
197	41		1
198	65		1
199	66		1
200	48		1
201	12		1
202	67		1
203	14		1
204	68		1
205	34		1
206	3		1
207	4		1
208	5		1
209	6		1
210	47		1
211	69		1
212	70		1
213	71		1
214	14		1
215	44	5	1
216	72		1
217	67		1
218	3		1
219	4		1
220	5		1
221	6		1
222	31		1
223	14		1
224	26	7	1
225	73		1
226	32		1
227	74		1
228	17		1
229	75		1
230	76		1
231	3		1
232	4		1
233	5		1
234	6		1
235	34		1
236	33		1
237	58		1
238	77		1
239	72		1
240	17		1
241	67		1
242	78		1
243	74	24	1
244	79		1
245	37		1
246	3		1
247	4		1
248	5		1
249	6		1
250	71		1
251	55		1
252	80		1
253	81		1
254	78		1
255	82		1
256	67		1
257	32		1
258	77		1
259	3		1
260	4		1
261	5		1
262	6		1
263	31		1
264	16		1
265	58		1
266	78		1
267	72		1
268	37		1
269	30		1
270	17		1
271	14		1
272	74		1
273	3		1
274	4		1
275	5		1
276	6		1
277	76		1
278	26	25	1
279	46		1
280	32		1
281	83	26	1
282	80		1
283	77		1
284	81		1
285	71	27	1
286	74		1
287	75		1
288	3		1
289	4		1
290	5		1
291	6		1
292	65		1
293	84		1
294	22		1
295	11		1
296	13		1
297	16		1
298	85		1
299	40	5	1
300	86	28	1
301	34	29	1
302	17		1
303	43		1
304	3		1
305	4		1
306	5		1
307	6		1
308	14		1
309	86	30	1
310	87		1
311	66		1
312	44	5	1
313	25	31	1
314	40		1
315	84	13	1
316	34	32	1
317	40	33	1
318	40		1
319	3		1
320	4		1
321	5		1
322	6		1
323	88		1
324	89		1
325	25		1
326	65		1
327	40	34	1
328	84		1
329	53		1
330	22	5	1
331	16		1
332	34		1
333	43		1
334	14		1
335	3		1
336	4		1
337	5		1
338	6		1
339	90		1
340	16		1
341	91		1
342	63		1
343	92		1
344	14		1
345	40		1
346	93		1
347	72		1
348	94		1
349	86		1
350	3		1
351	4		1
352	5		1
353	6		1
354	90		1
355	40		1
356	71		1
357	17		1
358	47		1
359	50		1
360	32		1
361	27		1
362	3		1
363	4		1
364	5		1
365	6		1
366	12		1
367	78		1
368	65		1
369	85		1
370	32		1
371	92		1
372	89		1
373	91	35	1
374	84		1
375	3		1
376	4		1
377	5		1
378	6		1
379	14		1
380	16		1
381	31		1
382	43		1
383	48	36	1
384	84	37	1
385	91		1
386	95	5	1
387	96		1
388	97		1
389	98		1
390	3		1
391	4		1
392	5		1
393	6		1
394	77		1
395	95		1
396	48		1
397	84		1
398	32		1
399	91	38	1
400	44		1
400	97		2
401	98		1
402	61		1
402	32		2
403	77		1
404	3		1
405	4		1
406	5		1
407	6		1
408	99		1
409	100	39	1
410	77		1
411	10		1
412	101		1
413	102		1
414	67		1
415	58	40	1
416	85		1
417	34		1
418	77		1
419	3		1
420	4		1
421	5		1
422	6		1
423	100		1
424	102	41	1
425	37		1
426	36		1
427	10		1
428	34	42	1
429	58		1
430	103		1
431	31		1
432	77		1
433	3		1
434	4		1
435	5		1
436	6		1
437	13		1
438	43		1
439	99		1
440	104		1
441	84		1
442	94		1
443	105		1
444	102	43	1
445	97		1
446	31		1
447	3		1
448	4		1
449	5		1
450	6		1
451	79		1
452	106		1
453	107		1
454	108		1
455	109		1
456	110		1
457	3		1
458	4		1
459	5		1
460	6		1
461	93		1
462	111	44	1
463	111		1
464	108		1
465	112		1
466	110		1
467	89		1
468	14		1
469	113		1
470	40		1
471	14		1
472	92		1
473	113		1
474	3		1
475	4		1
476	5		1
477	6		1
478	76		1
479	106		1
480	71		1
481	31		1
482	40		1
483	115		1
483	92		2
484	3		1
485	4		1
486	5		1
487	6		1
488	116		1
489	117		1
490	47		1
491	118		1
492	78		1
493	77		1
494	97		1
495	119		1
496	3		1
497	4		1
498	5		1
499	6		1
500	37		1
501	120		1
502	121		1
503	122		1
504	63		1
505	9		1
506	3		1
507	4		1
508	5		1
509	6		1
510	111		1
511	47		1
512	123		1
513	3		1
514	4		1
515	5		1
516	6		1
517	121		1
518	96		1
519	17		1
520	124		1
521	122		1
522	125		1
523	126		1
524	111		1
525	14		1
526	78		1
527	95		1
528	127		1
529	32		1
529	24		2
530	3		1
531	4		1
532	5		1
533	6		1
534	121		1
535	108		1
536	125		1
537	48		1
538	100		1
539	129		1
540	130		1
541	106		1
542	3		1
543	4		1
544	5		1
545	6		1
546	132		1
547	37		1
548	121		1
549	133		1
550	40		1
551	134		1
552	78		1
553	71		1
554	130		1
555	119		1
556	135		1
557	136		1
558	3		1
559	4		1
560	5		1
561	6		1
562	137		1
563	95		1
564	138		1
565	139		1
566	130		1
567	140		1
568	141		1
569	135		1
570	97		1
571	142		1
572	56		1
573	143		1
574	144		1
575	145		1
576	3		1
577	4		1
578	5		1
579	6		1
580	121		1
581	96		1
582	143		1
583	145		1
584	144		1
585	51	45	1
586	146		1
587	11		1
588	3		1
589	4		1
590	5		1
591	6		1
592	147		1
593	110		1
594	148	46	1
595	149		1
596	150	47	1
597	97		1
598	151		1
599	111	48	1
600	85		1
601	3		1
602	4		1
603	5		1
604	6		1
605	152		1
606	153		1
607	154		1
608	155		1
609	156		1
610	150		1
611	157		1
612	158		1
613	140		1
614	159		1
615	3		1
616	4		1
617	5		1
618	6		1
619	97		1
620	161		1
621	162		1
622	120		1
623	163		1
624	71		1
625	164		1
626	21		1
627	3		1
628	4		1
629	5		1
630	6		1
631	111		1
632	166		1
633	167		1
634	159		1
635	108		1
636	168		1
637	148		1
638	140		1
639	3		1
640	4		1
641	5		1
642	6		1
643	170		1
644	157	49	1
645	171		1
646	22		1
647	172		1
648	173		1
649	174		1
650	3		1
651	4		1
652	5		1
653	6		1
654	175		1
655	106		1
656	157		1
657	51		1
658	64		1
659	176		1
660	111		1
661	3		1
662	4		1
663	5		1
664	6		1
665	37		1
666	4		1
667	149		1
668	112		1
669	3		1
670	4		1
671	5		1
672	6		1
673	177		1
674	171		1
675	63		1
676	133		1
677	178		1
678	179		1
679	8		1
680	120		1
681	180		1
682	163		1
683	181		1
684	157		1
685	3		1
686	4		1
687	5		1
688	6		1
689	182		1
690	11		1
691	183		1
692	184		1
693	175		1
694	108		1
695	16		1
696	185		1
697	157		1
698	3		1
699	4		1
700	5		1
701	6		1
702	182		1
703	144	50	1
704	19		1
705	168		1
706	187		1
707	32		1
708	177		1
709	188		1
710	189		1
711	3		1
712	4		1
713	5		1
714	6		1
715	97		1
716	182		1
717	164		1
718	108		1
719	135		1
720	190		1
721	191		1
722	188		1
723	189		1
724	192		1
725	3		1
726	4		1
727	5		1
728	6		1
729	182		1
730	193		1
731	194		1
732	195		1
733	196		1
734	112		1
735	11		1
736	197		1
737	164		1
738	108		1
739	3		1
740	4		1
741	5		1
742	6		1
743	199		1
744	106		1
745	200		1
746	14		1
747	201		1
748	202		1
749	203		1
750	204		1
751	3		1
752	4		1
753	5		1
754	6		1
755	16		1
756	44	5	1
757	205		1
758	206		1
759	207		1
760	208		1
761	161		1
762	202		1
763	209		1
764	3		1
765	4		1
766	5		1
